latitude,longitude,altitude,geometry,OBJECTID,Parcel,Address,PropertyClass,PropertyUse,CurrentLand,CurrentImpr,CurrentTotal,PreviousLand,PreviousImpr,PreviousTotal,NetTaxes,SpecialAssmnt,OtherCharges,TotalTaxes,DeedPage,DeedRestriction,DeedVolume,ExemptionType,SHAPESTArea
43.03049876,-89.48658789,,Point,22,60801102059,2021 Mulberry Ln,Residential,Single family,61300,119800,181100,61300,104700,166000,4261.44,0,0,4261.44,0,0,0, - ,12815.59042
43.03026513,-89.48659023,,Point,23,60801102067,2025 Mulberry Ln,Residential,Single family,58200,108300,166500,58200,105000,163200,3761.27,0,0,3761.27,0,0,0, - ,12717.27206
43.03026193,-89.48602857,,Point,24,60801102075,2038 Rae Ln,Residential,Single family,58200,124700,182900,58200,121100,179300,4154.41,0,0,4154.41,0,0,0, - ,12939.20938
43.03052109,-89.4860405,,Point,25,60801102083,2034 Rae Ln,Residential,Single family,67200,120900,188100,67200,117200,184400,4279.06,0,0,4279.06,0,0,0, - ,15635.68625
43.03080726,-89.48597657,,Point,26,60801102091,2030 Rae Ln,Residential,Single family,70000,97400,167400,70000,94100,164100,3782.84,0,0,3782.84,0,0,0, - ,19661.86554
43.03100844,-89.48575372,,Point,27,60801102108,2026 Rae Ln,Residential,Single family,67100,89400,156500,67100,96100,163200,3521.55,0,0,3521.55,0,0,0, - ,15169.7215
43.03112706,-89.48546415,,Point,28,60801102116,2020 Rae Ln,Residential,Single family,59600,119100,178700,59600,115600,175200,4053.72,0,421.28,4475,0,0,0, - ,11732.99481
43.03124959,-89.48520861,,Point,29,60801102124,2018 Rae Ln,Residential,Single family,56200,105400,161600,56200,102200,158400,3643.81,0,0,3643.81,0,0,0, - ,10248.60718
43.03141475,-89.48496331,,Point,30,60801102132,2010 Rae Ln,Residential,Single family,60700,116600,177300,60700,113100,173800,4170.34,0,0,4170.34,0,0,0, - ,11906.54654
43.03164299,-89.48490292,,Point,31,60801102140,2002 Rae Ln,Residential,Single family,51700,126700,178400,51700,123200,174900,4046.53,0,0,4046.53,0,0,0, - ,10348.65613
43.03156867,-89.48535537,,Point,32,60801102158,6009 Raymond Rd,Residential,Single family,53600,104900,158500,54700,103800,158500,3719.67,0,0,3719.67,0,0,0, - ,11235.97485
43.03150319,-89.48568317,,Point,33,60801102166,6013 Raymond Rd,Residential,Single family,60900,111400,172300,63800,108500,172300,3900.3,0,0,3900.3,0,0,0, - ,15618.53555
43.03144162,-89.48601509,,Point,34,60801102174,6017 Raymond Rd,Residential,Single family,68300,94700,163000,66900,96100,163000,3677.37,0,0,3677.37,0,0,0, - ,19244.81332
43.03152842,-89.48634718,,Point,35,60801102182,6021 Raymond Rd,Residential,Single family,57900,108000,165900,60100,105800,165900,3746.89,0,0,3746.89,0,0,0, - ,13694.88739
43.03160166,-89.48844906,,Point,36,60801103015,6121 Raymond Rd,Residential,Single family,57900,135600,193500,51600,141900,193500,4408.51,0,0,4408.51,0,0,0, - ,9998.40271
43.03138494,-89.48845385,,Point,37,60801103023,2005 Prairie Rd,Residential,Single family,49900,120100,170000,49900,114000,163900,3845.17,0,0,3845.17,0,0,0, - ,9044.065704
43.03118013,-89.48845693,,Point,38,60801103031,2009 Prairie Rd,Residential,Single family,49900,96600,146500,49900,89600,139500,3281.83,0,0,3281.83,0,0,0, - ,8940.90921
43.03097271,-89.48845935,,Point,39,60801103049,2013 Prairie Rd,Residential,Single family,49900,97800,147700,49900,94900,144800,3310.6,0,0,3310.6,0,0,0, - ,9258.92337
43.03076341,-89.48846427,,Point,40,60801103057,2017 Prairie Rd,Residential,Single family,49700,103300,153000,49700,100300,150000,3437.65,94.29,0,3531.94,0,0,0, - ,9087.573303
43.0304068,-89.48849515,,Point,41,60801103073,6118 Riva Rd,Residential,Single family,70400,89500,159900,70400,89500,159900,3603.05,186.56,0,3789.61,0,0,0, - ,19334.95978
43.03034366,-89.48815156,,Point,42,60801103081,6114 Riva Rd,Residential,Single family,57800,104500,162300,57800,101300,159100,3660.59,0,0,3660.59,0,0,0, - ,11204.13513
43.03034299,-89.4878523,,Point,43,60801103099,6110 Riva Rd,Residential,Single family,57800,132700,190500,57800,129000,186800,4336.59,0,0,4336.59,0,0,0, - ,11204.06067
43.03034231,-89.48755303,,Point,44,60801103106,6106 Riva Rd,Residential,Single family,57800,100300,158100,57800,97200,155000,3710.09,0,0,3710.09,0,0,0, - ,11204.0618
43.03034136,-89.48725082,,Point,45,60801103114,6102 Riva Rd,Residential,Single family,57600,104700,162300,57600,101500,159100,3660.59,12.54,0,3673.13,0,0,0, - ,11423.10303
43.03071209,-89.48723481,,Point,46,60801103122,6101 Mulberry Cir,Residential,Single family,53700,126300,180000,53700,107700,161400,4084.89,0,0,4084.89,0,0,0, - ,9798.054993
43.03068788,-89.48751662,,Point,47,60801103130,6105 Mulberry Cir,Residential,Single family,52100,124500,176600,52100,121000,173100,4003.38,42.75,637.02,4683.15,0,0,0, - ,9019.10791
43.03067224,-89.48794175,,Point,48,60801103148,6109 Mulberry Cir,Residential,Single family,66900,137100,204000,66900,133100,200000,4660.21,25.84,0,4686.05,0,0,0, - ,15264.61713
43.03098133,-89.48807043,,Point,49,60801103156,6114 Mulberry Cir,Residential,Single family,67200,133500,200700,67200,109600,176800,4581.1,0,0,4581.1,0,0,0, - ,15358.33548
43.03126711,-89.4879048,,Point,50,60801103164,6110 Mulberry Cir,Residential,Single family,62700,108400,171100,62700,105000,167700,3871.54,79.73,901.15,4852.42,0,0,0, - ,12933.84479
43.03125063,-89.48750219,,Point,51,60801103172,6106 Mulberry Cir,Residential,Single family,51100,101300,152400,51100,102800,153900,3423.27,0,0,3423.27,0,0,0, - ,7809.951935
43.03122801,-89.4872302,,Point,52,60801103180,6102 Mulberry Cir,Residential,Single family,53300,104600,157900,53300,101500,154800,3555.11,0,0,3555.11,0,0,0, - ,9112.346741
43.03156025,-89.48723472,,Point,53,60801103198,6101 Raymond Rd,Residential,Single family,50700,91800,142500,51600,90900,142500,3185.94,0,0,3185.94,0,0,0, - ,9611.526703
43.0315586,-89.48752293,,Point,54,60801103205,6105 Raymond Rd,Residential,Single family,50000,98100,148100,49900,98200,148100,3320.19,0,0,3320.19,0,0,0, - ,9011.745392
43.03155597,-89.48780377,,Point,55,60801103213,6109 Raymond Rd,Residential,Single family,50000,98200,148200,49900,98300,148200,3322.58,0,0,3322.58,0,0,0, - ,9091.816315
43.03155433,-89.48808542,,Point,56,60801103221,6113 Raymond Rd,Residential,Single family,50300,98000,148300,50200,93800,144000,3324.98,155.05,0,3480.03,0,0,0, - ,9020.765503
43.03159715,-89.49047024,,Point,57,60801104013,2001 Westbrook Ln,Residential,2 Unit,59800,121500,181300,59800,117900,177700,4266.23,0,0,4266.23,0,0,0, - ,9001.529114
43.03139377,-89.49047197,,Point,58,60801104021,2005 Westbrook Ln,Residential,2 Unit,58800,119600,178400,58800,116100,174900,4196.71,0,0,4196.71,0,0,0, - ,8942.286896
43.031194,-89.49044837,,Point,59,60801104039,2009 Westbrook Ln,Residential,2 Unit,61200,105900,167100,61200,99500,160700,3925.83,0,868.1,4793.93,0,0,0, - ,9757.957825
43.03099745,-89.49046094,,Point,60,60801104047,2 Westbrook Cir,Residential,2 Unit,60900,117500,178400,60900,114000,174900,4196.71,0,54.16,4250.87,0,0,0, - ,9471.543457
43.03115214,-89.49004093,,Point,61,60801104055,6 Westbrook Cir Unit CDM,Residential,Condominium,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,9178.027618
43.03109952,-89.48969259,,Point,62,60801104063,10 Westbrook Cir Unit CDM,Residential,Condominium,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,16200.85229
43.03080249,-89.48962253,,Point,63,60801104071,13 Westbrook Cir Unit CDM,Residential,Condominium,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,12246.87982
43.03047722,-89.48968467,,Point,64,60801104089,9 Westbrook Cir,Residential,2 Unit,71600,122500,194100,71600,118700,190300,4573.07,0,0,4573.07,0,0,0, - ,18324.30887
43.03041456,-89.49003052,,Point,65,60801104097,7 Westbrook Cir,Residential,2 Unit,64100,131200,195300,64100,127400,191500,4601.84,0,0,4601.84,0,0,0, - ,12891.21982
43.03062124,-89.4904663,,Point,66,60801104104,1 Westbrook Cir,Residential,2 Unit,60900,115100,176000,60900,111600,172500,4139.18,0,0,4139.18,0,0,0, - ,9544.523071
43.03042388,-89.49045721,,Point,67,60801104112,2025 Westbrook Ln,Residential,2 Unit,61200,116400,177600,61200,112900,174100,4177.54,0,0,4177.54,0,0,0, - ,9854.957977
43.03022454,-89.49045972,,Point,68,60801104120,2029 Westbrook Ln,Residential,2 Unit,61200,118000,179200,61200,114500,175700,4215.89,0,0,4215.89,0,0,0, - ,9858.209229
43.02998058,-89.48980736,,Point,69,60801104138,2033 Westbrook Ln,Residential,Vacant,0,0,0,0,0,0,0,0,0,0,0,0,0,2a - City of Madison,76366.83301
43.02963839,-89.49049837,,Point,70,60801104146,2105 Westbrook Ln,Residential,Single family,59400,112300,171700,59400,102600,162000,3885.92,0,0,3885.92,0,0,0, - ,10598.32455
43.02933249,-89.49048821,,Point,71,60801104154,6222 Pioneer Rd,Residential,Single family,59400,136300,195700,59400,130600,190000,4611.43,45.36,43.43,4700.22,0,0,0, - ,9622.359985
43.02941797,-89.49024016,,Point,72,60801104162,6218 Pioneer Rd,Residential,Single family,58400,139400,197800,58400,133600,192000,4511.59,208.95,0,4720.54,0,0,0, - ,8561.060394
43.02956286,-89.49001633,,Point,73,60801104170,6214 Pioneer Rd,Residential,Single family,59400,165100,224500,59400,158600,218000,5151.63,0,0,5151.63,0,0,0, - ,12435.8685
43.02959212,-89.48969969,,Point,74,60801104188,6210 Pioneer Rd,Residential,Single family,59400,126000,185400,59400,120600,180000,4214.34,69.02,600.7,4884.06,0,0,0, - ,10386.21652
43.0295852,-89.48940707,,Point,75,60801104196,6206 Pioneer Rd,Residential,Single family,57200,131300,188500,57200,125800,183000,4288.65,0,0,4288.65,0,0,0, - ,8265.740784
43.02958426,-89.48913769,,Point,76,60801104203,6202 Pioneer Rd,Residential,Single family,59400,107000,166400,59400,97600,157000,3758.87,0,0,3758.87,0,0,0, - ,8810.52005
43.03032366,-89.48921758,,Point,77,60801104211,2030 Prairie Rd,Residential,Single family,55800,104000,159800,55800,92200,148000,3600.66,0,0,3600.66,0,0,0, - ,7575.87207
43.03049856,-89.48921515,,Point,78,60801104229,2026 Prairie Rd,Residential,Single family,55800,113300,169100,55800,103700,159500,3823.6,0,0,3823.6,0,0,0, - ,7862.417999
43.03068229,-89.48921395,,Point,79,60801104237,2022 Prairie Rd,Residential,Single family,56600,142200,198800,56600,136400,193000,4685.74,0,0,4685.74,0,0,0, - ,8334.499847
43.03087219,-89.48921179,,Point,80,60801104245,2018 Prairie Rd,Residential,Single family,57200,112400,169600,57200,102800,160000,3835.58,0,0,3835.58,0,0,0, - ,8383.422028
43.03106154,-89.48921062,,Point,81,60801104253,2014 Prairie Rd,Residential,Single family,56600,109800,166400,56600,100400,157000,3758.87,0,0,3758.87,0,0,0, - ,8263.737671
43.03124472,-89.4892073,,Point,82,60801104261,2010 Prairie Rd,Residential,Single family,55800,96500,152300,55800,85200,141000,3420.87,0,0,3420.87,0,0,0, - ,7820.70755
43.03142449,-89.48920649,,Point,83,60801104279,2006 Prairie Rd,Residential,Single family,55500,136100,191600,55500,130500,186000,4362.96,0,0,4362.96,0,0,0, - ,7942.406372
43.03161221,-89.4892044,,Point,84,60801104287,2002 Prairie Rd,Residential,Single family,56600,103500,160100,56600,94400,151000,3607.85,0,0,3607.85,0,0,0, - ,8492.733429
43.03150012,-89.4895653,,Point,85,60801104295,6209 Raymond Rd,Residential,2 Unit,60900,111300,172200,60900,107900,168800,4048.09,0,0,4048.09,0,0,0, - ,11005.77478
43.03149875,-89.48983687,,Point,86,60801104302,6213 Raymond Rd,Residential,2 Unit,60900,119200,180100,60900,115700,176600,4237.47,0,0,4237.47,0,0,0, - ,10992.31876
43.03149819,-89.49010928,,Point,87,60801104310,6217 Raymond Rd,Residential,2 Unit,60900,118800,179700,60900,115300,176200,4227.88,0,0,4227.88,0,0,0, - ,10925.33875
43.03159234,-89.49116661,,Point,88,60801105011,6301 Raymond Rd,Residential,2 Unit,60900,110200,171100,60900,106800,167700,4021.72,0,0,4021.72,0,0,0, - ,9369.588837
43.03139431,-89.49116744,,Point,89,60801105029,2006 Westbrook Ln,Residential,2 Unit,61200,118000,179200,61200,114500,175700,4215.89,0,0,4215.89,0,0,0, - ,9511.999176
43.03119572,-89.49117034,,Point,90,60801105037,2010 Westbrook Ln,Residential,2 Unit,55900,123800,179700,55900,120300,176200,4227.88,0,281.18,4509.06,0,0,0, - ,9402.473907
43.03099994,-89.49117158,,Point,91,60801105045,2014 Westbrook Ln,Residential,2 Unit,59800,99700,159500,59800,91800,151600,3743.65,206.94,0,3950.59,0,0,0, - ,9221.614197
43.03080491,-89.49117332,,Point,92,60801105053,2018 Westbrook Ln,Residential,2 Unit,59800,86500,146300,59800,78200,138000,3427.22,0,0,3427.22,0,0,0, - ,9307.771088
43.03061132,-89.49117625,,Point,93,60801105061,2022 Westbrook Ln,Residential,2 Unit,60900,102800,163700,60900,99600,160500,3844.33,177.89,0,4022.22,0,0,0, - ,9062.722137
43.0304182,-89.49117785,,Point,94,60801105079,2026 Westbrook Ln,Residential,2 Unit,60900,89500,150400,60900,83700,144600,3375.32,0,0,3375.32,0,0,0, - ,9239.904358
43.0302244,-89.49117946,,Point,95,60801105087,2030 Westbrook Ln,Residential,2 Unit,59800,89300,149100,59800,83600,143400,3494.34,0,0,3494.34,0,0,0, - ,9105.268951
43.02994413,-89.49118217,,Point,96,60801105095,2034 Westbrook Ln,Residential,Vacant,0,0,0,0,0,0,0,0,0,0,0,0,0,2a - City of Madison,17383.51147
43.02965767,-89.49118682,,Point,97,60801105102,2106 Westbrook Ln,Residential,Single family,59400,111200,170600,59400,101600,161000,3859.55,0,0,3859.55,0,0,0, - ,9645.879395
43.02943007,-89.49119808,,Point,98,60801105110,2110 Westbrook Ln,Residential,Single family,59400,93200,152600,59400,84600,144000,3428.06,0,0,3428.06,0,0,0, - ,11824.06668
43.02916521,-89.49094393,,Point,99,60801105128,2202 Ravenswood Rd,Residential,Single family,59900,133700,193600,59900,128100,188000,4561.08,143.73,0,4704.81,0,0,0, - ,10813.10779
43.0290853,-89.49122459,,Point,100,60801105136,2206 Ravenswood Rd,Residential,Single family,59900,118800,178700,59900,113600,173500,4053.72,0,0,4053.72,0,0,0, - ,13206.01724
43.02889776,-89.49142553,,Point,101,60801105144,2210 Ravenswood Rd,Residential,Single family,59900,111700,171600,59900,105100,165000,3883.52,0,0,3883.52,0,0,0, - ,12213.7272
43.02868235,-89.49158202,,Point,102,60801105152,2214 Ravenswood Rd,Residential,Single family,59400,122900,182300,59400,117600,177000,4140.02,45.93,0,4185.95,0,0,0, - ,10735.61923
43.02845399,-89.49163757,,Point,103,60801105160,2218 Ravenswood Rd,Residential,Single family,60600,142500,203100,60600,131400,192000,4788.82,121.51,546.17,5456.5,0,0,0, - ,12711.42557
43.02823135,-89.49162974,,Point,104,60801105178,2222 Ravenswood Rd,Residential,Single family,59400,135100,194500,59400,129400,188800,4432.48,0,0,4432.48,0,0,0, - ,9787.432617
43.0280329,-89.49163167,,Point,105,60801105186,2226 Ravenswood Rd,Residential,Single family,59400,123900,183300,59400,118600,178000,4163.99,0,0,4163.99,0,0,0, - ,10302.82291
43.02781919,-89.49163511,,Point,106,60801105194,2302 Ravenswood Rd,Residential,Single family,59900,132700,192600,59900,127100,187000,4386.93,0,0,4386.93,0,0,0, - ,11323.84167
43.02760177,-89.49163599,,Point,107,60801105201,2306 Ravenswood Rd,Residential,Single family,59400,92900,152300,59400,81600,141000,3420.87,0,82.85,3503.72,0,0,0, - ,10668.55066
43.02739235,-89.49164983,,Point,108,60801105219,2310 Ravenswood Rd,Residential,Single family,59900,136800,196700,59900,131100,191000,4485.22,0,0,4485.22,0,0,0, - ,10929.06152
43.02717023,-89.49165057,,Point,109,60801105227,2314 Ravenswood Rd,Residential,Single family,59900,153300,213200,59900,147100,207000,4880.75,0,0,4880.75,0,0,0, - ,12412.19388
43.02658192,-89.49330446,,Point,110,60801107017,6330 Pilgrim Rd,Residential,Single family,58400,119800,178200,58400,114600,173000,4041.74,0,0,4041.74,0,0,0, - ,9230.041229
43.02654561,-89.49303473,,Point,111,60801107025,6326 Pilgrim Rd,Residential,Single family,58400,144500,202900,58400,138600,197000,4633.84,0,0,4633.84,0,0,0, - ,8528.358826
43.02651104,-89.49277029,,Point,112,60801107033,6322 Pilgrim Rd,Residential,Single family,57400,135200,192600,57400,129600,187000,4386.93,0,0,4386.93,0,0,0, - ,8826.676544
43.02647584,-89.49250303,,Point,113,60801107041,6318 Pilgrim Rd,Residential,Single family,57400,119300,176700,57400,105600,163000,4005.78,48.37,0,4054.15,0,0,0, - ,8675.418457
43.02644148,-89.4922432,,Point,114,60801107059,6314 Pilgrim Rd,Residential,Single family,58400,127000,185400,58400,121600,180000,4214.34,0,0,4214.34,0,0,0, - ,8302.202911
43.02640682,-89.49197297,,Point,115,60801107067,6310 Pilgrim Rd,Residential,Single family,57200,128200,185400,57200,122800,180000,4214.34,0,0,4214.34,0,0,0, - ,9433.902008
43.02636488,-89.49161141,,Point,116,60801107075,2410 Ravenswood Rd,Residential,Single family,59900,141000,200900,59900,135100,195000,4585.9,0,0,4585.9,0,0,0, - ,10537.50992
43.02661033,-89.49160821,,Point,117,60801107083,2406 Ravenswood Rd,Residential,Single family,59900,117100,177000,59900,107100,167000,4012.97,0,0,4012.97,0,0,0, - ,10482.58466
43.02689217,-89.49160643,,Point,118,60801107091,2402 Ravenswood Rd,Residential,Single family,69100,175000,244100,69100,167900,237000,5621.48,0,0,5621.48,0,0,0, - ,13769.23618
43.0286971,-89.49057814,,Point,119,60801108015,2201 Ravenswood Rd,Residential,Single family,59400,108000,167400,59400,95600,155000,3782.84,0,0,3782.84,0,0,0, - ,9109.039551
43.02859769,-89.49082378,,Point,120,60801108023,2209 Ravenswood Rd,Residential,Single family,59900,116200,176100,59900,111100,171000,3991.4,0,0,3991.4,0,0,0, - ,9732.193726
43.02840984,-89.49092851,,Point,121,60801108031,2217 Ravenswood Rd,Residential,Single family,59400,166200,225600,59400,139600,199000,5178,0,0,5178,0,0,0, - ,9286.67746
43.0282076,-89.49089367,,Point,122,60801108049,2221 Ravenswood Rd,Residential,Single family,58400,165000,223400,58400,158500,216900,5275.45,0,0,5275.45,0,0,0, - ,9123.645416
43.02801384,-89.49089644,,Point,123,60801108057,2225 Ravenswood Rd,Residential,Single family,59400,133200,192600,59400,127600,187000,4386.93,0,0,4386.93,0,0,0, - ,9196.998108
43.02781173,-89.49089877,,Point,124,60801108065,2301 Ravenswood Rd,Residential,Single family,59400,144500,203900,59400,138600,198000,4657.81,0,0,4657.81,0,0,0, - ,9910.729797
43.02760523,-89.49090001,,Point,125,60801108073,2305 Ravenswood Rd,Residential,Single family,59400,117700,177100,59400,104600,164000,4015.37,0,0,4015.37,0,0,0, - ,9609.260925
43.0273995,-89.49090361,,Point,126,60801108081,2309 Ravenswood Rd,Residential,Single family,59400,115500,174900,59400,102600,162000,3962.63,0,0,3962.63,0,0,0, - ,9838.104584
43.02719666,-89.49090513,,Point,127,60801108099,2313 Ravenswood Rd,Residential,Single family,59400,113400,172800,59400,100600,160000,3912.29,0,0,3912.29,0,0,0, - ,9332.136688
43.026989,-89.4909072,,Point,128,60801108106,2401 Ravenswood Rd,Residential,Single family,59400,127000,186400,59400,121600,181000,4238.31,0,0,4238.31,0,0,0, - ,10291.96289
43.02676734,-89.49090945,,Point,129,60801108114,2405 Ravenswood Rd,Residential,Single family,59400,131600,191000,59400,119600,179000,4498.76,0,0,4498.76,0,0,0, - ,10653.05371
43.02655013,-89.4909119,,Point,130,60801108122,2409 Ravenswood Rd,Residential,Single family,59400,113300,172700,59400,97600,157000,3909.89,85.06,0,3994.95,0,0,0, - ,9869.288666
43.02634246,-89.49091306,,Point,131,60801108130,2413 Ravenswood Rd,Residential,Single family,59400,143500,202900,59400,137600,197000,4633.84,0,0,4633.84,0,0,0, - ,9745.498016
43.02633961,-89.490431,,Point,132,60801108148,2414 Westbrook Ln,Residential,Single family,59400,143500,202900,59400,137600,197000,4633.84,0,0,4633.84,0,0,0, - ,9728.165924
43.02655339,-89.49042767,,Point,133,60801108156,2410 Westbrook Ln,Residential,Single family,59400,132200,191600,59400,126600,186000,4362.96,0,0,4362.96,0,0,0, - ,10449.77502
43.02677662,-89.49042468,,Point,134,60801108164,2406 Westbrook Ln,Residential,Single family,59900,125400,185300,59900,107100,167000,4211.94,0,0,4211.94,0,0,0, - ,10622.33829
43.0269926,-89.49042273,,Point,135,60801108172,2402 Westbrook Ln,Residential,Single family,59400,129800,189200,59400,124300,183700,4305.43,0,0,4305.43,0,0,0, - ,9761.280853
43.02719457,-89.49042074,,Point,136,60801108180,2314 Westbrook Ln,Residential,Single family,59400,144100,203500,59400,138200,197600,4648.23,0,0,4648.23,0,0,0, - ,9298.124603
43.02739255,-89.49041882,,Point,137,60801108198,2310 Westbrook Ln,Residential,Single family,59400,114500,173900,59400,101600,161000,3938.66,0,0,3938.66,0,0,0, - ,9381.14566
43.02759137,-89.49041646,,Point,138,60801108205,2306 Westbrook Ln,Residential,Single family,59400,123900,183300,59400,118600,178000,4163.99,125.35,1277.25,5566.59,0,0,0, - ,9376.078796
43.02780183,-89.49041426,,Point,139,60801108213,2302 Westbrook Ln,Residential,Single family,59400,130100,189500,59400,124600,184000,4312.62,0,0,4312.62,0,0,0, - ,10475.67633
43.02801004,-89.4904121,,Point,140,60801108221,2226 Westbrook Ln,Residential,Single family,57400,102400,159800,57400,90600,148000,3600.66,0,0,3600.66,0,0,0, - ,9160.726746
43.02821655,-89.49039532,,Point,141,60801108239,2222 Westbrook Ln,Residential,Single family,59900,124500,184400,59900,119100,179000,4190.36,0,0,4190.36,0,0,0, - ,10167.04959
43.02842743,-89.49043665,,Point,142,60801108247,2218 Westbrook Ln,Residential,Single family,59400,139400,198800,59400,133600,193000,4535.56,0,0,4535.56,0,0,0, - ,8687.1427
43.02887817,-89.4901324,,Point,143,60801109013,6221 Pioneer Rd,Residential,Single family,59400,120900,180300,59400,115600,175000,4092.08,0,0,4092.08,0,0,0, - ,9710.651917
43.02870844,-89.48976338,,Point,144,60801109021,2217 Westbrook Ln,Residential,Single family,59900,135800,195700,59900,130100,190000,4461.25,0,0,4461.25,0,0,0, - ,14576.37915
43.02846759,-89.4897132,,Point,145,60801109039,2221 Westbrook Ln,Residential,Single family,59900,125500,185400,59900,120100,180000,4214.34,0,0,4214.34,0,0,0, - ,12642.84885
43.02822885,-89.4897112,,Point,146,60801109047,2225 Westbrook Ln,Residential,Single family,59400,135300,194700,59400,129600,189000,4437.27,0,0,4437.27,0,0,0, - ,9974.665955
43.02801705,-89.48971924,,Point,147,60801109055,2229 Westbrook Ln,Residential,Single family,59400,125000,184400,59400,119600,179000,4190.36,34.03,804.4,5028.79,0,0,0, - ,9633.757477
43.02780053,-89.48972129,,Point,148,60801109063,2301 Westbrook Ln,Residential,Single family,59900,139900,199800,59900,134100,194000,4559.53,0,0,4559.53,0,0,0, - ,10395.85489
43.02757674,-89.48972298,,Point,149,60801109071,2305 Westbrook Ln,Residential,Single family,59400,133200,192600,59400,127600,187000,4386.93,0,0,4386.93,0,0,0, - ,10270.58603
43.02736203,-89.48972494,,Point,150,60801109089,2309 Westbrook Ln,Residential,Single family,59400,116700,176100,59400,111600,171000,3991.4,0,0,3991.4,0,0,0, - ,9524.998322
